login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
emmabostian,emmabostian/developer-portfolios,2019-09-13T14:18:58Z,7353,7353,,true,true,
emilk,emilk/egui,2019-01-13T15:39:15Z,22252,22252,Rust,false,true,Apache License 2.0
mpj,mpj/create-react-app,2016-11-28T16:38:56Z,7,7,JavaScript,true,true,Other
hrydgard,hrydgard/ppsspp-site,2022-10-05T20:05:57Z,58,58,Rust,false,true,
eriklindernoren,eriklindernoren/PyTorch-GAN,2018-04-21T13:06:40Z,16393,16393,Python,true,true,MIT License
spotify,spotify/spotify.github.io,2021-07-28T18:54:12Z,103,103,HTML,false,false,Apache License 2.0
arvidn,arvidn/libtorrent,2015-06-03T05:22:03Z,5236,5236,C++,true,true,Other
aladdinpersson,aladdinpersson/Machine-Learning-Collection,2020-03-26T07:02:40Z,7603,7603,Python,true,true,MIT License
khaosdoctor,khaosdoctor/dotfiles,2017-01-13T21:08:08Z,10,10,Shell,true,true,GNU General Public License v3.0
Mojang,Mojang/minecraft-debugger,2021-04-28T17:45:54Z,57,57,TypeScript,true,true,MIT License
joearms,joearms/joearms.github.io,2017-09-12T14:49:51Z,61,61,HTML,true,true,MIT License
emilbjornson,emilbjornson/presentation_slides,2020-06-27T09:02:50Z,56,56,,true,true,
Dinnerbone,Dinnerbone/web-factoriopedia,2024-10-28T18:17:12Z,7,7,,true,true,MIT License
fornwall,fornwall/wgpu-game-of-life,2023-06-11T08:11:55Z,9,9,Rust,false,false,
victorbjorklund,victorbjorklund/scb_ex,2024-06-28T17:19:35Z,0,0,Elixir,true,true,
wader,wader/jaq,2024-09-23T09:58:48Z,0,0,,true,true,MIT License
bella-silveira,bella-silveira/adventofcode,2020-12-01T10:14:30Z,1,1,JavaScript,true,true,
davidsandberg,davidsandberg/facenet,2016-02-12T22:14:40Z,13796,13796,Python,false,true,MIT License
Nyholm,Nyholm/docs-1,2024-10-09T16:21:36Z,1,1,,true,false,Other
xNotch,xNotch/dark,2014-08-25T20:40:24Z,362,362,Dart,true,true,MIT License
dejwid,dejwid/instagram-clone,2024-10-27T14:32:43Z,11,11,TypeScript,true,true,
ivanpaulovich,ivanpaulovich/dotfiles,2022-07-13T19:13:56Z,3,3,Shell,true,true,MIT License
marcusolsson,marcusolsson/fides,2024-09-18T16:19:19Z,0,0,Python,true,false,Apache License 2.0
EmbarkStudios,EmbarkStudios/cervo,2022-05-10T19:00:40Z,40,40,Rust,true,true,Apache License 2.0
torkelo,torkelo/grafana,2014-05-29T15:33:34Z,112,112,JavaScript,true,true,Other
AhsanAyaz,AhsanAyaz/ng-resource-signal-yt,2024-10-31T08:08:41Z,0,0,TypeScript,true,true,
Grimler91,Grimler91/termux-packages,2017-02-02T15:47:11Z,28,28,Shell,true,false,Other
satansdeer,satansdeer/sound-recommender,2024-05-05T15:02:28Z,0,0,TypeScript,true,true,
marmelroy,marmelroy/PhoneNumberKit,2015-09-26T14:37:36Z,5135,5135,Swift,true,true,MIT License
LinusU,LinusU/node-rs,2022-09-27T16:31:40Z,1,1,,true,true,MIT License
williamboman,williamboman/mason-lspconfig.nvim,2022-07-21T11:57:05Z,2805,2805,Lua,false,false,Apache License 2.0
kushaldas,kushaldas/johnnycanencrypt,2020-07-08T06:16:51Z,51,51,Rust,true,true,GNU Lesser General Public License v3.0
Bogdan-Lyashenko,Bogdan-Lyashenko/fullstack-ai-nextjs,2024-04-07T13:04:15Z,0,0,,true,true,
h3r2tic,h3r2tic/gpu-allocator,2023-07-20T14:40:39Z,0,0,Rust,true,true,Apache License 2.0
rvirding,rvirding/luerl,2012-02-11T18:45:15Z,1044,1044,Erlang,true,true,Apache License 2.0
fu5ha,fu5ha/grayolson.me,2017-01-05T04:03:58Z,1,1,JavaScript,true,true,
leostera,leostera/dotfiles,2013-12-25T20:07:15Z,21,21,Python,true,false,Other
glrodasz,glrodasz/contentr,2023-08-12T14:06:13Z,2,2,JavaScript,true,true,
schteppe,schteppe/poly-decomp.js,2013-10-12T09:31:41Z,434,434,JavaScript,true,true,MIT License
ewels,ewels/nf-core-website,2018-04-18T20:11:00Z,0,0,Astro,true,true,MIT License
repi,repi/dotfiles,2023-04-25T21:57:26Z,0,0,Nushell,true,true,
tulios,tulios/mappersmith,2014-12-12T04:09:18Z,335,335,TypeScript,true,true,MIT License
isveckrali,isveckrali/udemigVoice,2024-10-24T14:32:02Z,0,0,JavaScript,true,true,
tadeuzagallo,tadeuzagallo/WebKit,2023-01-12T18:56:42Z,1,1,JavaScript,true,true,
javve,javve/list.js,2011-01-30T12:29:56Z,11199,11199,JavaScript,false,false,MIT License
thmsgbrt,thmsgbrt/thmsgbrt,2020-07-12T21:50:01Z,464,464,Mustache,true,true,
JoelBesada,JoelBesada/pasteboard,2012-06-16T21:04:59Z,637,637,CoffeeScript,true,true,
danielsaidi,danielsaidi/website_wally,2016-12-22T22:23:29Z,0,0,HTML,true,true,
johannilsson,johannilsson/www-sthlmtraveling,2015-04-26T13:24:36Z,0,0,HTML,true,false,
spydon,spydon/pubspec_parse,2024-10-27T13:25:52Z,0,0,,true,false,"BSD 3-Clause ""New"" or ""Revised"" License"
pontusab,pontusab/cursor.directory,2024-08-24T12:44:44Z,1559,1559,TypeScript,true,true,
EmmaDawsonDev,EmmaDawsonDev/deals-for-devs,2024-06-14T08:24:05Z,0,0,TypeScript,true,true,
veggiemonk,veggiemonk/awesome-docker,2014-09-21T17:01:48Z,30285,30285,,false,false,Apache License 2.0
aboullaite,aboullaite/aboullaite,2020-07-09T14:23:13Z,0,0,,true,true,
svmiller,svmiller/svmiller.github.io,2015-08-16T16:57:18Z,24,24,HTML,true,true,
lydell,lydell/elm-watch,2021-05-17T10:28:05Z,155,155,TypeScript,false,false,MIT License
sebh,sebh/UnrealEngineSkyAtmosphere,2020-06-02T20:05:37Z,710,710,C++,true,true,MIT License
slicedlime,slicedlime/examples,2020-07-06T22:21:21Z,186,186,mcfunction,true,false,
pmmmwh,pmmmwh/react-refresh-webpack-plugin,2019-09-12T21:27:04Z,3143,3143,JavaScript,false,false,MIT License
mattiasgustavsson,mattiasgustavsson/libs,2015-11-15T09:44:06Z,1673,1673,C,true,true,
rogeralsing,rogeralsing/PlasticLang,2015-07-11T12:25:49Z,3,3,C#,true,true,Apache License 2.0
